tag,assignment_count,file_count,section_count,sections,classification,citation_like
Adapted from Didache,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
Adapted from George Appleton,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
Adapted from John Donne,1,1,1,parish-occasions,provenance_non_scriptural_source,no
Adapted from Lancelot Andrewes (Daily Prayer),1,1,1,parish-year,provenance_non_scriptural_source,no
Adapted from Liturgy of St. James,1,1,1,parish-year,provenance_non_scriptural_source,no
Adapted from Micah 6:8,1,1,1,parish-devotional,citation_provenance_scripture,yes
Adapted from Mozarabic Sacramentary,1,1,1,parish-sacraments,provenance_non_scriptural_source,no
Adapted from Prayers for the Christian Year,1,1,1,parish-year,provenance_non_scriptural_source,no
Adapted from Roman Breviary,1,1,1,parish-year,provenance_non_scriptural_source,no
Adapted from Sarum Missal,1,1,1,parish-year,provenance_non_scriptural_source,no
Adapted from Sarum Primer,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
Adapted from Scottish Prayer Book,1,1,1,parish-supplementary,provenance_non_scriptural_source,no
Adapted from St. Nerses of Clajes,1,1,1,parish-year,provenance_non_scriptural_source,no
Adapted from Student Prayer,1,1,1,parish-supplementary,provenance_non_scriptural_source,no
Adapted from Thomas Arnold,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
After A. J. Mason,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
After Christina Rossetti,1,1,1,parish-year,provenance_non_scriptural_source,no
After George Wither (Daily Prayer),1,1,1,parish-year,provenance_non_scriptural_source,no
After Mozarabic Sacramentary,1,1,1,parish-year,provenance_non_scriptural_source,no
After Prayers of 1585,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
After Sir Francis Drake,1,1,1,parish-devotional,provenance_non_scriptural_source,no
After St. Anselm,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
After St. Francis of Assisi,1,1,1,parish-occasions,provenance_non_scriptural_source,no
After St. Fulgentius,1,1,1,parish-devotional,provenance_non_scriptural_source,no
After St. Jerome,1,1,1,parish-supplementary,provenance_non_scriptural_source,no
After St. Thomas Aquinas,1,1,1,parish-devotional,provenance_non_scriptural_source,no
After the 55th Canon of 1603,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
After William Laud,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
An adaptation of the Gelasian prayer,1,1,1,parish-intercessory,topic_or_source,no
An adaptation of the House of Commons Prayer,1,1,1,parish-intercessory,topic_or_source,no
Anselm of Canterbury,1,1,1,acna2019,topic_or_source,no
Armenian Liturgy,1,1,1,potec,source_like,no
"Armistice Day Prayers, 1931",1,1,1,parish-intercessory,topic_or_source,no
Artists’ Prayer Guild,1,1,1,parish-devotional,source_like,no
"Austrian Church Order, 1571",1,1,1,parish-year,source_like,no
Based on 1 Peter 1:3–5,1,1,1,parish-year,citation_provenance_scripture,yes
Based on 1 Peter 4:10–11,1,1,1,parish-year,citation_provenance_scripture,yes
Based on 2 Corinthians 4:6,1,1,1,parish-supplementary,citation_provenance_scripture,yes
"Based on 2 John 3:23, 24",1,1,1,parish-year,citation_provenance_scripture,yes
Based on 2 Timothy 3:5–17,1,1,1,parish-supplementary,citation_provenance_scripture,yes
Based on a 16th century prayer,1,1,1,parish-occasions,provenance_non_scriptural_source,no
"Based on a prayer of the Pan-Anglican Congress, 1908",1,1,1,parish-intercessory,provenance_non_scriptural_source,no
Based on a sixteenth century prayer,1,1,1,parish-devotional,provenance_non_scriptural_source,no
Based on Colossians 1:10–12,1,1,1,parish-year,citation_provenance_scripture,yes
Based on Colossians 3:1–4,1,1,1,parish-year,citation_provenance_scripture,yes
Based on Confirmation Service,1,1,1,parish-sacraments,provenance_non_scriptural_source,no
Based on Ephesians 1:17–21,1,1,1,parish-devotional,citation_provenance_scripture,yes
Based on Ephesians 4:11–13,1,1,1,parish-intercessory,citation_provenance_scripture,yes
Based on Ephesians 4:30–32,1,1,1,parish-year,citation_provenance_scripture,yes
Based on Ephesians 4:4–6,1,1,1,parish-year,citation_provenance_scripture,yes
Based on Ephesians 6:11–17,1,1,1,parish-year,citation_provenance_scripture,yes
"Based on Galatians 5:22, 23",1,1,1,parish-year,citation_provenance_scripture,yes
Based on Hebrews 10:19–24,1,1,1,parish-year,citation_provenance_scripture,yes
"Based on Hebrews 13:20, 21",1,1,1,parish-year,citation_provenance_scripture,yes
Based on John 4:23; Isaiah 29:13; Psalm 103.,1,1,1,parish-devotional,citation_provenance_scripture,yes
Based on Luke 8:15,1,1,1,parish-year,citation_provenance_scripture,yes
Based on Numbers 6:24–26,1,1,1,parish-devotional,citation_provenance_scripture,yes
Based on Philippians 1:9–11,1,1,1,parish-year,citation_provenance_scripture,yes
Based on Philippians 2:8–11,1,1,1,parish-year,citation_provenance_scripture,yes
Based on Philippians 2:9–11,1,1,1,parish-devotional,citation_provenance_scripture,yes
Based on Philippians 4:4–7,1,1,1,parish-year,citation_provenance_scripture,yes
"Based on Psalm 119. 105, 18, 162",1,1,1,parish-supplementary,citation_provenance_scripture,yes
Based on Psalm 23:1–3,1,1,1,parish-year,citation_provenance_scripture,yes
Based on Romans 12:19–21,1,1,1,parish-year,citation_provenance_scripture,yes
Based on Romans 12:6–10. #### The first sign,1,1,1,parish-year,citation_provenance_scripture,yes
"Based on Romans 13. 11, 12, 1 Thessalonians 5:8",1,1,1,parish-year,citation_provenance_scripture,yes
Based on Romans 15:13,1,1,1,parish-year,citation_provenance_scripture,yes
Based on Thomas Ken,1,1,1,parish-year,provenance_non_scriptural_source,no
Benedict of Nursia,1,1,1,acna2019,topic_or_source,no
Benjamin Jenks,1,1,1,parish-devotional,topic_or_source,no
Bible Reading Fellowship,1,1,1,parish-supplementary,topic_or_source,no
"Book of Hours, 1864",1,1,1,parish-devotional,source_like,no
"Book of Offices, Methodist Church",1,1,1,parish-year,source_like,no
Book of Public Worship,1,1,1,parish-occasions,source_like,no
British Hospital for Mothers and Babies,1,1,1,parish-sacraments,topic_or_source,no
Brompton Parish Church,1,1,1,parish-sacraments,topic_or_source,no
C. C. B. Bardsley,1,1,1,parish-intercessory,topic_or_source,no
C. M. Blagden,1,1,1,parish-intercessory,topic_or_source,no
C. S. Woodward,1,1,1,parish-occasions,topic_or_source,no
C.I.P.B.C. Prayer Book,1,1,1,parish-year,source_like,no
Central Board of Finance,1,1,1,parish-occasions,source_like,no
Charles F. d’Arcy,1,1,1,parish-intercessory,topic_or_source,no
Charles Gore,1,1,1,parish-intercessory,topic_or_source,no
Church Army,1,1,1,parish-intercessory,topic_or_source,no
Church’s Ministry among the Jews,1,1,1,parish-intercessory,topic_or_source,no
Clement of Alexandria,1,1,1,potec,topic_or_source,no
Collect of Easter Even,1,1,1,parish-sacraments,topic_or_source,no
Community of the Resurrection,1,1,1,parish-intercessory,topic_or_source,no
Daybreak Office of the Eastern Church,1,1,1,parish-devotional,source_like,no
Diocese of Rochester,1,1,1,parish-intercessory,source_like,no
Diocese of Uganda,1,1,1,parish-intercessory,source_like,no
Douglas Crick,1,1,1,parish-intercessory,topic_or_source,no
E. C. Ratcliff,1,1,1,parish-intercessory,topic_or_source,no
E. M. Venables,1,1,1,parish-intercessory,topic_or_source,no
Edward Hawkins,1,1,1,parish-year,topic_or_source,no
Emil E. Fischer,1,1,1,parish-year,topic_or_source,no
Ephesians 3:14–19,1,1,1,parish-year,bible_reference_like,yes
"Ephesians 3:20, 21",1,1,1,parish-devotional,bible_reference_like,yes
Eric Fenn,1,1,1,parish-devotional,topic_or_source,no
F. D. Maurice,1,1,1,parish-intercessory,topic_or_source,no
F. J. A. Hort,1,1,1,parish-sacraments,topic_or_source,no
Faith and Order Conference Manual,1,1,1,parish-occasions,source_like,no
Fellowship Litanies,1,1,1,parish-year,topic_or_source,no
Fielding Ould,1,1,1,parish-occasions,topic_or_source,no
Fifth century,1,1,1,parish-occasions,topic_or_source,no
"Form of National Prayer, 1942",1,1,1,parish-intercessory,topic_or_source,no
"Form of National Prayer, May 1940",1,1,1,parish-intercessory,topic_or_source,no
Francis J. Moore,1,1,1,parish-intercessory,topic_or_source,no
Francis Xavier,1,1,1,acna2019,topic_or_source,no
Franciscan Breviary,1,1,1,parish-intercessory,source_like,no
Frank Edward Brightman,1,1,1,parish-occasions,topic_or_source,no
From an ancient prayer,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
From Book of Common Prayer,1,1,1,parish-year,provenance_non_scriptural_source,no
From Primer of 1555,1,1,1,parish-devotional,provenance_non_scriptural_source,no
From the Gothic,1,1,1,parish-devotional,provenance_non_scriptural_source,no
From the Litany,1,1,1,parish-year,provenance_non_scriptural_source,no
From the Liturgy of Malabar,1,1,1,parish-sacraments,provenance_non_scriptural_source,no
From the Order of Compline,1,1,1,parish-occasions,provenance_non_scriptural_source,no
G. E. L. Cotton,1,1,1,parish-year,topic_or_source,no
Geneva Bible,1,1,1,parish-year,topic_or_source,no
Geoffrey F. Fisher,1,1,1,parish-intercessory,topic_or_source,no
George Adam Smith,1,1,1,parish-year,topic_or_source,no
George Dawson,1,1,1,parish-devotional,topic_or_source,no
George Hickes,1,1,1,parish-devotional,topic_or_source,no
George Timms (after C. J. Vaughan),1,1,1,parish-year,topic_or_source,no
Gladys E. Bretherton,1,1,1,parish-intercessory,topic_or_source,no
"Godly Prayers, 1559",1,1,1,parish-year,topic_or_source,no
Gregory Nazianzen,1,1,1,parish-year,topic_or_source,no
Guildford Diocese,1,1,1,parish-occasions,source_like,no
H. Bisseker,1,1,1,parish-year,topic_or_source,no
H. C. Cooksey,1,1,1,parish-year,topic_or_source,no
H. J. Wotherspoon,1,1,1,parish-year,topic_or_source,no
H. Stobat,1,1,1,parish-year,topic_or_source,no
"Hebrews 13:20, 21",1,1,1,parish-devotional,bible_reference_like,yes
Henry Hayman,1,1,1,parish-intercessory,topic_or_source,no
Henry Scott Holland,1,1,1,parish-intercessory,topic_or_source,no
Hugh Martin,1,1,1,parish-year,topic_or_source,no
Ignatius,1,1,1,potec,topic_or_source,no
In the Tradition of Francis of Assisi,1,1,1,acna2019,topic_or_source,no
In Watchings Often,1,1,1,parish-intercessory,topic_or_source,no
Inter-Varsity Fellowship,1,1,1,parish-occasions,topic_or_source,no
Irenaeus,1,1,1,potec,topic_or_source,no
J. H. Oldham,1,1,1,parish-occasions,topic_or_source,no
J. W. Suter,1,1,1,parish-year,topic_or_source,no
James Wareham,1,1,1,parish-supplementary,topic_or_source,no
John Calvin,1,1,1,parish-supplementary,topic_or_source,no
John Henry Newman,1,1,1,acna2019,topic_or_source,no
John Wesley,1,1,1,acna2019,topic_or_source,no
Joost de Blank,1,1,1,parish-intercessory,topic_or_source,no
Joseph Hall,1,1,1,parish-year,topic_or_source,no
Joseph Mercier,1,1,1,acna2019,topic_or_source,no
"Jude 24, 25",1,1,1,parish-devotional,bible_reference_like,yes
Julian of Norwich,1,1,1,acna2019,topic_or_source,no
King Alfred,1,1,1,parish-devotional,topic_or_source,no
"King’s College Chapel, Cambridge",1,1,1,parish-supplementary,topic_or_source,no
"Knox’s Book of Common Order, 1564",1,1,1,parish-devotional,source_like,no
L. Tuttiet,1,1,1,parish-year,topic_or_source,no
"Lambeth Conference, 1930",1,1,1,parish-intercessory,source_like,no
"Lambeth Conference, 1958",1,1,1,parish-intercessory,source_like,no
Laurence Binyon,1,1,1,parish-occasions,topic_or_source,no
"Leaflet of the Collegium, 1914",1,1,1,parish-intercessory,topic_or_source,no
Lionel James,1,1,1,parish-sacraments,topic_or_source,no
Liturgy of St. Basil,1,1,1,acna2019,source_like,no
Liturgy of St. Dionysius,1,1,1,parish-intercessory,source_like,no
Liturgy of the Nestorians,1,1,1,potec,source_like,no
Liturgy of the Reformed Church of France,1,1,1,parish-occasions,source_like,no
Luke 2:15; Isaiah 9:6,1,1,1,parish-year,bible_reference_like,yes
M. A. P. Wood (after St. Augustine),1,1,1,parish-devotional,topic_or_source,no
Macrina the Younger,1,1,1,other,topic_or_source,no
Mandell Creighton,1,1,1,parish-year,topic_or_source,no
Miles Coverdale,1,1,1,acna2019,topic_or_source,no
Mozarabic Liturgy,1,1,1,parish-devotional,source_like,no
Nicholas Ridley,1,1,1,parish-devotional,topic_or_source,no
Non-Jurors’ Prayer Book,1,1,1,parish-year,source_like,no
Nonjurors’ Prayer Book,1,1,1,parish-devotional,source_like,no
Office of Compline,1,1,1,parish-year,source_like,no
Old Galilean,1,1,1,parish-year,topic_or_source,no
Olive Warner,1,1,1,parish-intercessory,topic_or_source,no
Order of Compline,1,1,1,parish-devotional,source_like,no
Oxford Diocesan Service Book,1,1,1,parish-year,source_like,no
Pakenham Walsh,1,1,1,parish-occasions,topic_or_source,no
"Peace Prayers, 1946",1,1,1,parish-intercessory,topic_or_source,no
Prayer of the Order,1,1,1,parish-year,source_like,no
Prayer of the Order of the Garter,1,1,1,parish-intercessory,source_like,no
"Prayers for Education Sunday, 1957",1,1,1,parish-occasions,topic_or_source,no
Praying for the Church Overseas,1,1,1,parish-intercessory,topic_or_source,no
Praying for Unity,1,1,1,parish-occasions,topic_or_source,no
Priest’s Book of Private Devotion,1,1,1,parish-sacraments,source_like,no
Priest’s Prayer Book,1,1,1,parish-intercessory,source_like,no
"Psalms 104:24; 145:15, 16, 21",1,1,1,parish-occasions,bible_reference_like,yes
R. Ambrose Reeves,1,1,1,parish-intercessory,topic_or_source,no
R. W. Stewart,1,1,1,parish-occasions,topic_or_source,no
Randall T. Davidson,1,1,1,parish-intercessory,topic_or_source,no
"Revelation 1:5, 6",1,1,1,parish-devotional,bible_reference_like,yes
Revelation 4:11; 5:13,1,1,1,parish-year,bible_reference_like,yes
Richard Baxter,1,1,1,parish-year,topic_or_source,no
Richard of Chichester,1,1,1,acna2019,topic_or_source,no
Robert N. Rodenmeyer,1,1,1,parish-intercessory,topic_or_source,no
Robert Nelson,1,1,1,parish-year,topic_or_source,no
Roman Breviary,1,1,1,parish-devotional,source_like,no
Roman Missal,1,1,1,parish-supplementary,source_like,no
Russian Contakion of the Departed,1,1,1,parish-occasions,topic_or_source,no
Rydal School Hymnal,1,1,1,parish-year,topic_or_source,no
S. Gladstone,1,1,1,parish-occasions,topic_or_source,no
S. P. T. Prideaux,1,1,1,parish-intercessory,topic_or_source,no
Sarum Breviary,1,1,1,parish-year,source_like,no
Sarum Missal,1,1,1,parish-year,source_like,no
School Prayers,1,1,1,parish-intercessory,topic_or_source,no
Service Book for the Young,1,1,1,parish-occasions,source_like,no
"St. Aldate’s Church, Oxford",1,1,1,parish-occasions,topic_or_source,no
St. Benedict,1,1,1,parish-devotional,topic_or_source,no
St. Hilary of Poitiers,1,1,1,parish-year,topic_or_source,no
St. Patrick’s Breastplate,1,1,1,parish-devotional,topic_or_source,no
St. Paul’s Cathedral,1,1,1,parish-intercessory,topic_or_source,no
St. Richard of Chichester,1,1,1,parish-year,topic_or_source,no
St. Thomas Aquinas,1,1,1,parish-devotional,topic_or_source,no
Student Christian Movement,1,1,1,parish-intercessory,topic_or_source,no
Suzanne de Dietrich,1,1,1,parish-occasions,topic_or_source,no
Syrian Clementine Liturgy,1,1,1,potec,source_like,no
Te Deum,1,1,1,parish-year,topic_or_source,no
Thanksgivings for the Social Order,1,1,1,tec1979,source_like,no
The Boys’ Prayer Book,1,1,1,parish-intercessory,source_like,no
The C.M.S. Prayer adapted,1,1,1,parish-occasions,topic_or_source,no
The Earl of Meath,1,1,1,parish-intercessory,topic_or_source,no
The Narrow Way,1,1,1,parish-year,topic_or_source,no
The Prayer Manual,1,1,1,parish-year,topic_or_source,no
The Royal Maundy,1,1,1,parish-year,topic_or_source,no
The Unfolding Year,1,1,1,parish-occasions,topic_or_source,no
Thomas Aquinas,1,1,1,acna2019,topic_or_source,no
Thomas Becon,1,1,1,parish-year,topic_or_source,no
Toc H Prayers,1,1,1,parish-intercessory,topic_or_source,no
"Trinity College, Dublin",1,1,1,parish-devotional,topic_or_source,no
"United Lutheran Church, U.S.A.",1,1,1,parish-year,topic_or_source,no
United Society for Christian Literature,1,1,1,parish-intercessory,source_like,no
Uppingham School Prayers,1,1,1,parish-devotional,topic_or_source,no
W. Bellars,1,1,1,parish-intercessory,topic_or_source,no
W. Boyd Carpenter,1,1,1,parish-intercessory,topic_or_source,no
W. Charter Piggott,1,1,1,parish-intercessory,topic_or_source,no
W. Hay Aitken,1,1,1,parish-occasions,topic_or_source,no
W. J. Butler,1,1,1,parish-intercessory,topic_or_source,no
W. K. Hamilton,1,1,1,parish-year,topic_or_source,no
W. L. Anderson,1,1,1,parish-supplementary,topic_or_source,no
W. M. Clow,1,1,1,parish-year,topic_or_source,no
W. Rigby Murray,1,1,1,parish-year,topic_or_source,no
W. Walshanz How,1,1,1,parish-year,topic_or_source,no
W. Waltham How,1,1,1,parish-intercessory,topic_or_source,no
"War Prayers, 1940",1,1,1,parish-intercessory,topic_or_source,no
Westminster Prayers,1,1,1,parish-devotional,topic_or_source,no
When Two or Three,1,1,1,parish-intercessory,topic_or_source,no
Wilfred B. Hornby,1,1,1,parish-year,topic_or_source,no
William Martin,1,1,1,parish-intercessory,topic_or_source,no
Winchester Cathedral,1,1,1,parish-occasions,topic_or_source,no
York Diocese,1,1,1,parish-devotional,source_like,no
"York Minster, 1547",1,1,1,parish-year,topic_or_source,no
